,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales Availability Report,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Project,Stage,Category,Unit Type,Unit Code,Grand Total (Pricing Structure),Total Finishing Price,Unit Total with Finishing Price,Planned Delivery Date,Actual Delivery Date,Completion Progress, Land Area  (Pricing Structure), Built Area  (Pricing Structure), Basement Area  (Pricing Structure), Uncovered Basement Area  (Pricing Structure), Penthouse Area  (Pricing Structure), Semi Covered Roof Area  (Pricing Structure), Roof Area  (Pricing Structure),Garden / Outdoor Area (Pricing Structure), Garage Area  (Pricing Structure),  Pergola Area  (Pricing Structure), Storage Area  (Pricing Structure), Extra BuiltUp Area  (Pricing Structure),Finishing Specs, Club  (Pricing Structure),,
Badya,Badya-District 2,Badya-The Corner C-2 Bed-Penthouse,Apartment,D2A8-02-0553,"ج.م.‏​8,493,000.00","ج.م.‏​2,538,290.80","ج.م.‏​11,031,290.80",6/30/2030,,,0.00,114.56,0.00,0.00,0.00,0.00,28.86,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-3 Bed-Garden,Apartment,D2A8-02-0602,"ج.م.‏​11,744,000.00","ج.م.‏​3,030,672.00","ج.م.‏​14,774,672.00",6/30/2030,,,0.00,147.12,0.00,0.00,0.00,0.00,0.00,70.61,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-2 Bed-Typical,Apartment,D2A8-02-0612,"ج.م.‏​9,070,000.00","ج.م.‏​2,619,084.00","ج.م.‏​11,689,084.00",6/30/2030,,,0.00,127.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-2 Bed-Typical,Apartment,D2A8-02-0622,"ج.م.‏​9,070,000.00","ج.م.‏​2,619,084.00","ج.م.‏​11,689,084.00",6/30/2030,,,0.00,127.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-2 Bed-Typical,Apartment,D2A8-02-0642,"ج.م.‏​9,070,000.00","ج.م.‏​2,619,084.00","ج.م.‏​11,689,084.00",6/30/2030,,,0.00,127.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-3 Bed-Penthouse,Apartment,D2A8-02-0651,"ج.م.‏​11,142,000.00","ج.م.‏​3,251,710.00","ج.م.‏​14,393,710.00",6/30/2030,,,0.00,151.07,0.00,0.00,0.00,0.00,22.60,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Trio D-2 Bed-Penthouse,Apartment,D2A8-02-0652,"ج.م.‏​9,149,000.00","ج.م.‏​2,643,165.40","ج.م.‏​11,792,165.40",6/30/2030,,,0.00,121.85,0.00,0.00,0.00,0.00,21.53,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A8,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Duo C-M-2 Bed-Garden,Apartment,D2A7-03-0101-M,"ج.م.‏​9,846,000.00","ج.م.‏​2,740,418.00","ج.م.‏​12,586,418.00",6/30/2030,,,0.00,133.03,0.00,0.00,0.00,0.00,0.00,46.10,0.00,0.00,0.00,0.00,FFAI-BD-D2A7,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Duo C-M-2 Bed-Garden,Apartment,D2A7-03-0102-M,"ج.م.‏​10,861,000.00","ج.م.‏​2,773,996.00","ج.م.‏​13,634,996.00",6/30/2030,,,0.00,134.66,0.00,0.00,0.00,0.00,0.00,63.20,0.00,0.00,0.00,0.00,FFAI-BD-D2A7,"ج.م.‏​320,000.00",,
Badya,Badya-District 2,Badya-Duo C-M-2 Bed-Typical,Apartment,D2A7-03-0111-M,"ج.م.‏​8,889,000.00","ج.م.‏​2,716,522.00","ج.م.‏​11,605,522.00",6/30/2030,,,0.00,131.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FFAI-BD-D2A7,"ج.م.‏​320,000.00",,
